year,month,gscpi_shock
1998,1,
1998,2,
1998,3,0.2587518816932777
1998,4,-0.11420063815592223
1998,5,-0.3122667164774048
1998,6,-0.311174435420322
1998,7,-0.20359278818583026
1998,8,-0.026570822999268717
1998,9,-0.08711455536127377
1998,10,0.1502628300442025
1998,11,-0.2599972791255192
1998,12,0.19272995279656002
1999,1,0.25598484913299335
1999,2,0.2155583001655265
1999,3,-0.3124356530897281
1999,4,0.06387748884843605
1999,5,-0.159725402318946
1999,6,-0.028156221647998525
1999,7,-0.27757536853479825
1999,8,0.145697324910522
1999,9,0.006123065584787313
1999,10,0.22254403711544699
1999,11,-0.08997033903871397
1999,12,-0.05137819403566321
2000,1,-0.4237409027218406
2000,2,0.20151368598594138
2000,3,0.07117594452269171
2000,4,0.3682362308631333
2000,5,0.10727080742102071
2000,6,-0.2371149910732482
2000,7,-0.0265736024119919
2000,8,0.10375889019858017
2000,9,-0.05241448142254532
2000,10,-0.5542822964492767
2000,11,-0.18512529360012808
2000,12,-0.21609111121404656
2001,1,-0.050876360364224604
2001,2,0.06668553905114527
2001,3,0.11531884497226752
2001,4,-0.4840701849552489
2001,5,-0.1475506507861164
2001,6,0.3447731378135789
2001,7,-0.2383619757636728
2001,8,-0.006609251397510674
2001,9,0.03751580437189217
2001,10,-0.6031310745119326
2001,11,-0.25069246542414736
2001,12,0.1886717786155354
2002,1,0.12201837590380105
2002,2,0.3289660875395948
2002,3,-0.05627838644618072
2002,4,-0.19230917326750713
2002,5,0.24256849824693766
2002,6,-0.3746552558406524
2002,7,-0.3371477635459822
2002,8,-0.1673874642109231
2002,9,-0.12614401310054013
2002,10,-0.1825831836437577
2002,11,0.39061526808967206
2002,12,-0.05468898902466601
2003,1,-0.007536800118505549
2003,2,0.2602645544204877
2003,3,-0.0845700004379725
2003,4,-0.2545022382401302
2003,5,0.33283761888686403
2003,6,0.02688335060517477
2003,7,0.09198576898200735
2003,8,-0.08212626565805925
2003,9,0.12491224301571102
2003,10,-0.3428271138891073
