"country","month","ip_index","ip_gr_yoy"
"Bulgaria","1953-01",NA,NA
"Bulgaria","1953-02",NA,NA
"Bulgaria","1953-03",NA,NA
"Bulgaria","1953-04",NA,NA
"Bulgaria","1953-05",NA,NA
"Bulgaria","1953-06",NA,NA
"Bulgaria","1953-07",NA,NA
"Bulgaria","1953-08",NA,NA
"Bulgaria","1953-09",NA,NA
"Bulgaria","1953-10",NA,NA
"Bulgaria","1953-11",NA,NA
"Bulgaria","1953-12",NA,NA
"Bulgaria","1954-01",NA,NA
"Bulgaria","1954-02",NA,NA
"Bulgaria","1954-03",NA,NA
"Bulgaria","1954-04",NA,NA
"Bulgaria","1954-05",NA,NA
"Bulgaria","1954-06",NA,NA
"Bulgaria","1954-07",NA,NA
"Bulgaria","1954-08",NA,NA
"Bulgaria","1954-09",NA,NA
"Bulgaria","1954-10",NA,NA
"Bulgaria","1954-11",NA,NA
"Bulgaria","1954-12",NA,NA
"Bulgaria","1955-01",NA,NA
"Bulgaria","1955-02",NA,NA
"Bulgaria","1955-03",NA,NA
"Bulgaria","1955-04",NA,NA
"Bulgaria","1955-05",NA,NA
"Bulgaria","1955-06",NA,NA
"Bulgaria","1955-07",NA,NA
"Bulgaria","1955-08",NA,NA
"Bulgaria","1955-09",NA,NA
"Bulgaria","1955-10",NA,NA
"Bulgaria","1955-11",NA,NA
"Bulgaria","1955-12",NA,NA
"Bulgaria","1956-01",NA,NA
"Bulgaria","1956-02",NA,NA
"Bulgaria","1956-03",NA,NA
"Bulgaria","1956-04",NA,NA
"Bulgaria","1956-05",NA,NA
"Bulgaria","1956-06",NA,NA
"Bulgaria","1956-07",NA,NA
"Bulgaria","1956-08",NA,NA
"Bulgaria","1956-09",NA,NA
"Bulgaria","1956-10",NA,NA
"Bulgaria","1956-11",NA,NA
"Bulgaria","1956-12",NA,NA
"Bulgaria","1957-01",NA,NA
"Bulgaria","1957-02",NA,NA
"Bulgaria","1957-03",NA,NA
