"month","neer","geo","currency","dln_neer"
"2000-07",1.9462,"BG","BGN",NA
"2000-08",1.9463,"BG","BGN",0.00513808606407151
"2000-09",1.9482,"BG","BGN",0.0975735088325935
"2000-10",1.9464,"BG","BGN",-0.0924356867542442
"2000-11",1.9479,"BG","BGN",0.0770356713237996
"2000-12",1.9543,"BG","BGN",0.328020385348027
"2001-01",1.9557,"BG","BGN",0.0716112562572313
"2001-02",1.9506,"BG","BGN",-0.261116806068873
"2001-03",1.9473,"BG","BGN",-0.169321983038206
"2001-04",1.9482,"BG","BGN",0.0462071629322658
"2001-05",1.947,"BG","BGN",-0.0616142964655508
"2001-06",1.9474,"BG","BGN",0.0205423172456087
"2001-07",1.9461,"BG","BGN",-0.0667779657536394
"2001-08",1.9504,"BG","BGN",0.220710983988759
"2001-09",1.9475,"BG","BGN",-0.148798098210368
"2001-10",1.9465,"BG","BGN",-0.051361069439293
"2001-11",1.9477,"BG","BGN",0.0616301185343726
"2001-12",1.9463,"BG","BGN",-0.071905498732483
"2002-01",1.9513,"BG","BGN",0.256568285242376
"2002-02",1.948,"BG","BGN",-0.16926118984727
"2002-03",1.9504,"BG","BGN",0.123127452452665
"2002-04",1.9513,"BG","BGN",0.0461337373946047
"2002-05",1.9521,"BG","BGN",0.0409899068094965
"2002-06",1.9517,"BG","BGN",-0.0204928531891913
"2002-07",1.947,"BG","BGN",-0.241106126495638
"2002-08",1.9482,"BG","BGN",0.0616142964655508
"2002-09",1.9469,"BG","BGN",-0.066750535199056
"2002-10",1.9466,"BG","BGN",-0.0154102992471428
"2002-11",1.9535,"BG","BGN",0.353837450273209
"2002-12",1.9546,"BG","BGN",0.056293340961
"2003-01",1.9557,"BG","BGN",0.0562616693868034
"2003-02",1.9532,"BG","BGN",-0.127913241109812
"2003-03",1.9508,"BG","BGN",-0.122950835160762
"2003-04",1.9463,"BG","BGN",-0.230941058736833
"2003-05",1.9465,"BG","BGN",0.0102753801981104
"2003-06",1.9462,"BG","BGN",-0.0154134662621819
"2003-07",1.9467,"BG","BGN",0.0256877907343966
"2003-08",1.9464,"BG","BGN",-0.0154118825919758
"2003-09",1.9489,"BG","BGN",0.128359835866576
"2003-10",1.9485,"BG","BGN",-0.0205265049214698
"2003-11",1.9525,"BG","BGN",0.205075693507717
"2003-12",1.9557,"BG","BGN",0.163758288476235
"2004-01",1.9559,"BG","BGN",0.0102259944868677
"2004-02",1.9484,"BG","BGN",-0.384192261108451
"2004-03",1.9464,"BG","BGN",-0.102701046307474
"2004-04",1.9474,"BG","BGN",0.0513637075343021
"2004-05",1.9475,"BG","BGN",0.00513492002475191
"2004-06",1.9559,"BG","BGN",0.430394679856871
"2004-07",1.9558,"BG","BGN",-0.00511286652973286
"2004-08",1.9559,"BG","BGN",0.00511286652973286
"2004-09",1.9559,"BG","BGN",0
"2004-10",1.9558,"BG","BGN",-0.00511286652973286
"2004-11",1.9559,"BG","BGN",0.00511286652973286
"2004-12",1.9559,"BG","BGN",0
"2005-01",1.9558,"BG","BGN",-0.00511286652973286
"2005-02",1.9559,"BG","BGN",0.00511286652973286
"2005-03",1.9559,"BG","BGN",0
"2005-04",1.9559,"BG","BGN",0
"2005-05",1.9554,"BG","BGN",-0.0255669471901143
"2005-06",1.9559,"BG","BGN",0.0255669471901143
"2005-07",1.9557,"BG","BGN",-0.0102259944868677
"2005-08",1.9557,"BG","BGN",0
"2005-09",1.9559,"BG","BGN",0.0102259944868677
"2005-10",1.9562,"BG","BGN",0.0153370312920509
"2005-11",1.9558,"BG","BGN",-0.0204498978217837
"2005-12",1.9563,"BG","BGN",0.0255617189091506
"2006-01",1.9558,"BG","BGN",-0.0255617189091506
"2006-02",1.9558,"BG","BGN",0
"2006-03",1.9558,"BG","BGN",0
"2006-04",1.9558,"BG","BGN",0
"2006-05",1.9558,"BG","BGN",0
"2006-06",1.9558,"BG","BGN",0
"2006-07",1.9558,"BG","BGN",0
"2006-08",1.9558,"BG","BGN",0
"2006-09",1.9558,"BG","BGN",0
"2006-10",1.9558,"BG","BGN",0
"2006-11",1.9558,"BG","BGN",0
"2006-12",1.9558,"BG","BGN",0
"2007-01",1.9558,"BG","BGN",0
"2007-02",1.9558,"BG","BGN",0
"2007-03",1.9558,"BG","BGN",0
"2007-04",1.9558,"BG","BGN",0
"2007-05",1.9558,"BG","BGN",0
"2007-06",1.9558,"BG","BGN",0
"2007-07",1.9558,"BG","BGN",0
"2007-08",1.9558,"BG","BGN",0
"2007-09",1.9558,"BG","BGN",0
"2007-10",1.9558,"BG","BGN",0
"2007-11",1.9558,"BG","BGN",0
