year,month,bh_oil_supply_shock,bh_oil_price_exp_shock
1996,1,-0.434941436,0.009304059
1996,2,0.303276376,-0.003741777
1996,3,-0.879040226,-0.024711054
1996,4,-0.622523121,0.038114957
1996,5,0.524151219,-0.044232761
1996,6,0.058570147,-0.051803152
1996,7,-0.074834613,-0.010935098
1996,8,-0.976240836,-0.017766573
1996,9,-0.38652009,-0.012173089
1996,10,-0.21025043,0.031067678
1996,11,0.616469469,-0.033004774
1996,12,0.04075649,-0.007848562
1997,1,-0.241726684,0.003933388
1997,2,1.061302092,-0.054661149
1997,3,0.115376727,0.007016585
1997,4,1.242406419,-0.063622217
1997,5,-1.059935036,-0.003722826
1997,6,-0.400049187,0.040123274
1997,7,-0.782173103,-0.001569438
1997,8,0.395840559,-0.000901326
1997,9,-0.031536824,0.009027571
1997,10,-0.452449337,0.018169334
1997,11,-0.567805308,0.011673752
1997,12,0.137135706,-0.015580568
1998,1,2.624143681,-0.022928405
1998,2,1.001948846,-0.04828112
1998,3,0.889541549,0.010343184
1998,4,-0.025423991,-0.006489635
1998,5,0.145218033,0.017060431
1998,6,0.323396958,-0.023706883
1998,7,-0.374535363,0.007454198
1998,8,-1.923560333,-0.041642769
1998,9,-1.618079929,-0.03958003
1998,10,0.216914285,0.082340436
1998,11,1.186734177,-0.072730555
1998,12,0.517819935,-0.013647741
1999,1,-0.617537995,-0.049539416
1999,2,0.529059929,-0.023835709
1999,3,-1.187529193,0.043940773
1999,4,-2.870599032,0.003058723
1999,5,-0.700324691,0.024537468
1999,6,-2.346527428,-0.005490013
1999,7,0.239911128,-0.061615292
1999,8,-0.730392044,0.017941806
1999,9,-1.461571981,-0.020261227
1999,10,0.200507514,-0.027444626
1999,11,-1.846583672,-0.001573745
1999,12,-1.899150412,0.017108604
2000,1,0.44702809,0.032279683
2000,2,0.086324277,-0.01669636
2000,3,-0.023506445,0.011707857
2000,4,1.614723403,-0.067712478
2000,5,-0.593108613,-0.064518179
2000,6,-0.262884704,0.076062005
2000,7,1.18658364,0.01118929
2000,8,0.265898702,-0.038797396
2000,9,-0.820503245,0.023722163
2000,10,1.233439105,0.037990505
2000,11,0.165138413,-0.012702751
2000,12,-0.896394722,-0.022893122
2001,1,-0.604461593,0.004644726
2001,2,-0.261171693,-0.009664896
2001,3,0.980973517,0.042912548
2001,4,-1.343364578,-0.006888609
2001,5,-1.253251906,-0.026633653
2001,6,-1.399797048,0.018267935
2001,7,2.331210772,0.020311669
2001,8,-0.645350807,-0.0362671
2001,9,-0.383429457,0.02323604
2001,10,1.558378463,-0.010432147
2001,11,1.180169688,-0.059976587
2001,12,-0.884260578,-0.056811447
2002,1,-0.934488502,-0.001977377
2002,2,-0.813108951,0.019856311
2002,3,-0.833301806,0.012856603
2002,4,-0.470657067,0.070986386
2002,5,0.199282078,0.028784686
