"country","month","ur"
"Belgium","1983-01",NA
"Belgium","1983-02",NA
"Belgium","1983-03",NA
"Belgium","1983-04",NA
"Belgium","1983-05",NA
"Belgium","1983-06",NA
"Belgium","1983-07",NA
"Belgium","1983-08",NA
"Belgium","1983-09",NA
"Belgium","1983-10",NA
"Belgium","1983-11",NA
"Belgium","1983-12",NA
"Belgium","1984-01",NA
"Belgium","1984-02",NA
"Belgium","1984-03",NA
"Belgium","1984-04",NA
"Belgium","1984-05",NA
"Belgium","1984-06",NA
"Belgium","1984-07",NA
"Belgium","1984-08",NA
"Belgium","1984-09",NA
"Belgium","1984-10",NA
"Belgium","1984-11",NA
"Belgium","1984-12",NA
"Belgium","1985-01",NA
"Belgium","1985-02",NA
"Belgium","1985-03",NA
"Belgium","1985-04",NA
"Belgium","1985-05",NA
"Belgium","1985-06",NA
"Belgium","1985-07",NA
"Belgium","1985-08",NA
"Belgium","1985-09",NA
"Belgium","1985-10",NA
"Belgium","1985-11",NA
"Belgium","1985-12",NA
"Belgium","1986-01",NA
"Belgium","1986-02",NA
"Belgium","1986-03",NA
"Belgium","1986-04",10.1
"Belgium","1986-05",10.1
"Belgium","1986-06",10.1
"Belgium","1986-07",10
"Belgium","1986-08",9.9
"Belgium","1986-09",9.9
"Belgium","1986-10",10
"Belgium","1986-11",10.1
"Belgium","1986-12",10.1
"Belgium","1987-01",10.1
"Belgium","1987-02",10
"Belgium","1987-03",10
"Belgium","1987-04",10
"Belgium","1987-05",9.9
"Belgium","1987-06",9.9
"Belgium","1987-07",9.8
"Belgium","1987-08",9.7
"Belgium","1987-09",9.6
"Belgium","1987-10",9.6
"Belgium","1987-11",9.6
"Belgium","1987-12",9.5
"Belgium","1988-01",9.5
"Belgium","1988-02",9.4
"Belgium","1988-03",9.3
"Belgium","1988-04",9.2
"Belgium","1988-05",9.1
"Belgium","1988-06",8.9
"Belgium","1988-07",8.8
"Belgium","1988-08",8.7
"Belgium","1988-09",8.5
"Belgium","1988-10",8.3
"Belgium","1988-11",8.2
"Belgium","1988-12",8.1
"Belgium","1989-01",7.9
"Belgium","1989-02",7.8
"Belgium","1989-03",7.7
"Belgium","1989-04",7.6
"Belgium","1989-05",7.5
"Belgium","1989-06",7.4
"Belgium","1989-07",7.3
"Belgium","1989-08",7.2
"Belgium","1989-09",7.1
"Belgium","1989-10",7
"Belgium","1989-11",7
"Belgium","1989-12",6.9
"Belgium","1990-01",6.8
"Belgium","1990-02",6.7
"Belgium","1990-03",6.7
"Belgium","1990-04",6.6
"Belgium","1990-05",6.6
"Belgium","1990-06",6.6
"Belgium","1990-07",6.6
"Belgium","1990-08",6.5
"Belgium","1990-09",6.4
"Belgium","1990-10",6.4
"Belgium","1990-11",6.4
"Belgium","1990-12",6.4
"Belgium","1991-01",6.4
"Belgium","1991-02",6.4
"Belgium","1991-03",6.4
"Belgium","1991-04",6.4
"Belgium","1991-05",6.4
"Belgium","1991-06",6.4
"Belgium","1991-07",6.4
"Belgium","1991-08",6.4
"Belgium","1991-09",6.4
"Belgium","1991-10",6.5
"Belgium","1991-11",6.6
"Belgium","1991-12",6.7
"Belgium","1992-01",6.7
"Belgium","1992-02",6.7
"Belgium","1992-03",6.8
"Belgium","1992-04",6.9
"Belgium","1992-05",7
"Belgium","1992-06",7.1
"Belgium","1992-07",7.1
"Belgium","1992-08",7.1
"Belgium","1992-09",7.2
"Belgium","1992-10",7.3
"Belgium","1992-11",7.5
"Belgium","1992-12",7.7
"Belgium","1993-01",7.8
"Belgium","1993-02",7.9
"Belgium","1993-03",8.1
"Belgium","1993-04",8.2
"Belgium","1993-05",8.4
"Belgium","1993-06",8.5
"Belgium","1993-07",8.7
"Belgium","1993-08",8.9
"Belgium","1993-09",9
"Belgium","1993-10",9.2
"Belgium","1993-11",9.3
"Belgium","1993-12",9.5
"Belgium","1994-01",9.6
"Belgium","1994-02",9.7
"Belgium","1994-03",9.7
"Belgium","1994-04",9.8
"Belgium","1994-05",9.8
"Belgium","1994-06",9.8
"Belgium","1994-07",9.8
"Belgium","1994-08",9.8
"Belgium","1994-09",9.8
"Belgium","1994-10",9.8
"Belgium","1994-11",9.7
"Belgium","1994-12",9.7
"Belgium","1995-01",9.7
"Belgium","1995-02",9.7
"Belgium","1995-03",9.6
"Belgium","1995-04",9.6
"Belgium","1995-05",9.6
"Belgium","1995-06",9.6
"Belgium","1995-07",9.6
"Belgium","1995-08",9.7
"Belgium","1995-09",9.7
"Belgium","1995-10",9.8
"Belgium","1995-11",9.8
"Belgium","1995-12",9.8
"Belgium","1996-01",9.9
"Belgium","1996-02",9.9
"Belgium","1996-03",9.8
"Belgium","1996-04",9.8
"Belgium","1996-05",9.7
"Belgium","1996-06",9.5
"Belgium","1996-07",9.5
"Belgium","1996-08",9.4
"Belgium","1996-09",9.4
"Belgium","1996-10",9.3
"Belgium","1996-11",9.2
"Belgium","1996-12",9.2
"Belgium","1997-01",9.1
"Belgium","1997-02",9.1
"Belgium","1997-03",9.1
"Belgium","1997-04",9.1
"Belgium","1997-05",9.1
"Belgium","1997-06",9.2
"Belgium","1997-07",9.3
"Belgium","1997-08",9.3
"Belgium","1997-09",9.3
"Belgium","1997-10",9.3
"Belgium","1997-11",9.3
"Belgium","1997-12",9.4
"Belgium","1998-01",9.4
"Belgium","1998-02",9.4
"Belgium","1998-03",9.5
"Belgium","1998-04",9.5
"Belgium","1998-05",9.4
"Belgium","1998-06",9.4
"Belgium","1998-07",9.3
"Belgium","1998-08",9.4
"Belgium","1998-09",9.4
"Belgium","1998-10",9.2
"Belgium","1998-11",9.1
"Belgium","1998-12",9.1
"Belgium","1999-01",8.9
"Belgium","1999-02",9
"Belgium","1999-03",9
"Belgium","1999-04",9
"Belgium","1999-05",9
"Belgium","1999-06",8.7
"Belgium","1999-07",8.3
"Belgium","1999-08",8.2
"Belgium","1999-09",7.9
"Belgium","1999-10",7.8
"Belgium","1999-11",7.7
"Belgium","1999-12",7.6
"Belgium","2000-01",7.3
"Belgium","2000-02",7.1
"Belgium","2000-03",6.9
"Belgium","2000-04",6.9
"Belgium","2000-05",6.8
"Belgium","2000-06",6.7
"Belgium","2000-07",6.8
"Belgium","2000-08",7
"Belgium","2000-09",6.9
"Belgium","2000-10",6.8
"Belgium","2000-11",6.7
"Belgium","2000-12",6.4
"Belgium","2001-01",6.1
"Belgium","2001-02",6
"Belgium","2001-03",6.1
"Belgium","2001-04",6.5
"Belgium","2001-05",6.6
"Belgium","2001-06",6.4
"Belgium","2001-07",6.1
"Belgium","2001-08",6.2
"Belgium","2001-09",6.6
"Belgium","2001-10",7.3
"Belgium","2001-11",7.4
"Belgium","2001-12",7.5
"Belgium","2002-01",7.4
"Belgium","2002-02",7.3
"Belgium","2002-03",7.3
"Belgium","2002-04",7.3
"Belgium","2002-05",7.3
"Belgium","2002-06",7.3
"Belgium","2002-07",7.5
"Belgium","2002-08",7.4
"Belgium","2002-09",7.6
"Belgium","2002-10",7.8
"Belgium","2002-11",8
"Belgium","2002-12",8.1
"Belgium","2003-01",8.1
"Belgium","2003-02",8.1
"Belgium","2003-03",8.1
"Belgium","2003-04",8.1
"Belgium","2003-05",8.1
"Belgium","2003-06",8.1
"Belgium","2003-07",8.1
"Belgium","2003-08",8.1
"Belgium","2003-09",8.2
"Belgium","2003-10",8.3
"Belgium","2003-11",8.3
"Belgium","2003-12",8.5
"Belgium","2004-01",8.7
"Belgium","2004-02",8.6
"Belgium","2004-03",8.3
"Belgium","2004-04",7.7
"Belgium","2004-05",7.6
"Belgium","2004-06",8
"Belgium","2004-07",8.6
"Belgium","2004-08",9
"Belgium","2004-09",9
"Belgium","2004-10",8.6
"Belgium","2004-11",8.3
"Belgium","2004-12",8.2
"Belgium","2005-01",8.3
"Belgium","2005-02",8.5
"Belgium","2005-03",8.6
"Belgium","2005-04",8.4
"Belgium","2005-05",8.6
"Belgium","2005-06",8.5
"Belgium","2005-07",8.5
"Belgium","2005-08",8.5
"Belgium","2005-09",8.5
"Belgium","2005-10",8.4
"Belgium","2005-11",8.4
"Belgium","2005-12",8.5
"Belgium","2006-01",8.5
"Belgium","2006-02",8.6
"Belgium","2006-03",8.6
"Belgium","2006-04",8.7
"Belgium","2006-05",8.8
"Belgium","2006-06",8.5
"Belgium","2006-07",8
"Belgium","2006-08",7.8
"Belgium","2006-09",7.9
"Belgium","2006-10",7.9
"Belgium","2006-11",8
"Belgium","2006-12",7.9
"Belgium","2007-01",7.8
"Belgium","2007-02",7.8
"Belgium","2007-03",7.9
"Belgium","2007-04",8.2
"Belgium","2007-05",8.1
