"country","month","ur"
"Bulgaria","1983-01",NA
"Bulgaria","1983-02",NA
"Bulgaria","1983-03",NA
"Bulgaria","1983-04",NA
"Bulgaria","1983-05",NA
"Bulgaria","1983-06",NA
"Bulgaria","1983-07",NA
"Bulgaria","1983-08",NA
"Bulgaria","1983-09",NA
"Bulgaria","1983-10",NA
"Bulgaria","1983-11",NA
"Bulgaria","1983-12",NA
"Bulgaria","1984-01",NA
"Bulgaria","1984-02",NA
"Bulgaria","1984-03",NA
"Bulgaria","1984-04",NA
"Bulgaria","1984-05",NA
"Bulgaria","1984-06",NA
"Bulgaria","1984-07",NA
"Bulgaria","1984-08",NA
"Bulgaria","1984-09",NA
"Bulgaria","1984-10",NA
"Bulgaria","1984-11",NA
"Bulgaria","1984-12",NA
"Bulgaria","1985-01",NA
"Bulgaria","1985-02",NA
"Bulgaria","1985-03",NA
"Bulgaria","1985-04",NA
"Bulgaria","1985-05",NA
"Bulgaria","1985-06",NA
"Bulgaria","1985-07",NA
"Bulgaria","1985-08",NA
"Bulgaria","1985-09",NA
"Bulgaria","1985-10",NA
"Bulgaria","1985-11",NA
"Bulgaria","1985-12",NA
"Bulgaria","1986-01",NA
"Bulgaria","1986-02",NA
"Bulgaria","1986-03",NA
"Bulgaria","1986-04",NA
"Bulgaria","1986-05",NA
"Bulgaria","1986-06",NA
"Bulgaria","1986-07",NA
"Bulgaria","1986-08",NA
"Bulgaria","1986-09",NA
"Bulgaria","1986-10",NA
"Bulgaria","1986-11",NA
"Bulgaria","1986-12",NA
"Bulgaria","1987-01",NA
"Bulgaria","1987-02",NA
"Bulgaria","1987-03",NA
"Bulgaria","1987-04",NA
"Bulgaria","1987-05",NA
"Bulgaria","1987-06",NA
"Bulgaria","1987-07",NA
"Bulgaria","1987-08",NA
"Bulgaria","1987-09",NA
"Bulgaria","1987-10",NA
"Bulgaria","1987-11",NA
"Bulgaria","1987-12",NA
"Bulgaria","1988-01",NA
"Bulgaria","1988-02",NA
"Bulgaria","1988-03",NA
"Bulgaria","1988-04",NA
"Bulgaria","1988-05",NA
"Bulgaria","1988-06",NA
"Bulgaria","1988-07",NA
