Months,b,u90,d90,u68,d68,Fstat,sample
0,.18374395,.29115343,.076334484,.24903847,.11844944,208.57607,EMU20
1,.31817791,.46097416,.17538166,.40498415,.23137167,208.57607,EMU20
2,.41429433,.59270889,.23587976,.52275306,.30583563,208.57607,EMU20
3,.59978849,.80281514,.39676186,.72320896,.47636804,208.57607,EMU20
4,.70876539,.93492699,.48260379,.84624964,.57128114,208.57607,EMU20
5,.88067955,1.1364573,.62490171,1.0361676,.72519147,208.57607,EMU20
6,.963898,1.2493359,.67846012,1.1374165,.79037952,208.57607,EMU20
7,.84677172,1.1485654,.54497802,1.0302329,.66331047,208.57607,EMU20
8,.7295987,1.049368,.40982941,.92398733,.53521007,208.57607,EMU20
9,.81534463,1.1546259,.47606337,1.0215946,.60909462,208.57607,EMU20
10,.89054936,1.2534683,.52763051,1.1111687,.66992998,208.57607,EMU20
11,.77617937,1.167189,.38516971,1.0138751,.5384835,208.57607,EMU20
12,.61814773,1.0172256,.21906984,.86074829,.3755472,208.57607,EMU20
13,.42309704,.83270657,.013487545,.67209977,.17409432,208.57607,EMU20
