Months,b_L4,u90_L4,d90_L4,Fstat_L4,b_L8,u90_L8,d90_L8,Fstat_L8,b_L12,u90_L12,d90_L12,Fstat_L12,b_L16,u90_L16,d90_L16,Fstat_L16
0,.21207742,.32823747,.095917366,168.5434,.20319128,.31398615,.092396416,184.35724,.18374395,.29115343,.076334484,208.57607,.13948064,.23911238,.039848875,254.77118
1,.29068902,.45585081,.12552723,168.5434,.28129593,.44034934,.12224247,184.35724,.31817791,.46097416,.17538166,208.57607,.25386238,.39070725,.11701754,254.77118
2,.40480056,.61326635,.19633479,168.5434,.40267876,.60073274,.20462477,184.35724,.41429433,.59270889,.23587976,208.57607,.36512512,.53801483,.19223541,254.77118
3,.59603131,.83306015,.35900253,168.5434,.59608054,.82001621,.37214485,184.35724,.59978849,.80281514,.39676186,208.57607,.52689558,.72311151,.33067971,254.77118
4,.74103481,1.0060238,.47604579,168.5434,.73806566,.98597771,.49015361,184.35724,.70876539,.93492699,.48260379,208.57607,.61118847,.82853997,.39383703,254.77118
5,.90482938,1.1967795,.61287934,168.5434,.90487128,1.1823947,.62734783,184.35724,.88067955,1.1364573,.62490171,208.57607,.79405963,1.0366058,.55151337,254.77118
6,1.03529,1.3515816,.71899843,168.5434,1.0022684,1.3093306,.69520634,184.35724,.963898,1.2493359,.67846012,208.57607,.87951094,1.1448376,.61418432,254.77118
7,.93606466,1.2688513,.60327804,168.5434,.88229519,1.206467,.55812335,184.35724,.84677172,1.1485654,.54497802,208.57607,.77915859,1.0608374,.49747986,254.77118
8,.80762261,1.1641366,.45110869,168.5434,.73230445,1.0834835,.38112548,184.35724,.7295987,1.049368,.40982941,208.57607,.65198368,.95035136,.35361594,254.77118
9,.95743734,1.3455455,.56932914,168.5434,.86812764,1.2485238,.48773152,184.35724,.81534463,1.1546259,.47606337,208.57607,.72519678,1.0408418,.4095518,254.77118
10,1.0871581,1.5007901,.67352617,168.5434,.97889507,1.3841096,.57368046,184.35724,.89054936,1.2534683,.52763051,208.57607,.78912097,1.1278344,.45040759,254.77118
11,1.0026855,1.4458436,.55952764,168.5434,.88696241,1.3186471,.45527762,184.35724,.77617937,1.167189,.38516971,208.57607,.73472607,1.1000394,.36941278,254.77118
12,.84994143,1.2978877,.40199518,168.5434,.7285285,1.1663301,.2907269,184.35724,.61814773,1.0172256,.21906984,208.57607,.60360712,.97491431,.23229989,254.77118
13,.62682647,1.084953,.16869989,168.5434,.52639627,.97484976,.077942781,184.35724,.42309704,.83270657,.013487545,208.57607,.45268035,.82852525,.076835461,254.77118
