Months,b_gscpi_lo,u90_gscpi_lo,d90_gscpi_lo,Fstat_gscpi_lo,b_gscpi_hi,u90_gscpi_hi,d90_gscpi_hi,Fstat_gscpi_hi,b_apprec_hi,u90_apprec_hi,d90_apprec_hi,Fstat_apprec_hi,b_apprec_lo,u90_apprec_lo,d90_apprec_lo,Fstat_apprec_lo,b_vol_lo,u90_vol_lo,d90_vol_lo,Fstat_vol_lo,b_vol_hi,u90_vol_hi,d90_vol_hi,Fstat_vol_hi
0,.15572272,.31113371,.00031170552,98.746254,.33208916,.46432739,.1998509,108.19195,.097911417,.29799065,-.10216782,70.792984,.32455021,.44190663,.20719381,126.81812,.28785315,.38172394,.19398236,146.92876,.071617469,.32757759,-.18434265,62.286022
1,.22989517,.43562236,.024167987,98.746254,.56665862,.76140225,.37191495,108.19195,-.000021483567,.27108303,-.27112597,70.792984,.6382612,.80771738,.46880496,126.81812,.39603549,.52163446,.27043653,146.92876,.2593132,.5943101,-.07568372,62.286022
2,.27051869,.52513248,.015904911,98.746254,.70744389,.96638924,.44849852,108.19195,.15723391,.48599115,-.17152333,70.792984,.78200108,1.0068202,.55718195,126.81812,.40096486,.56070358,.24122614,146.92876,.51393598,.92271513,.10515682,62.286022
3,.28198844,.56727225,-.0032953524,98.746254,1.0145396,1.3223019,.70677733,108.19195,.32908848,.69513899,-.036962021,70.792984,1.0394868,1.3069046,.77206892,126.81812,.47485006,.6643734,.28532675,146.92876,.79345906,1.2437648,.34315333,62.286022
4,.29049671,.62864381,-.047650415,98.746254,1.2061685,1.5543389,.85799819,108.19195,.46885443,.87348819,.064220674,70.792984,1.1462078,1.4419488,.85046679,126.81812,.52972013,.73324198,.32619828,146.92876,.91434312,1.4219842,.40670198,62.286022
5,.48160714,.84508717,.11812712,98.746254,1.3357753,1.7408906,.93066001,108.19195,.55229205,.99470776,.10987635,70.792984,1.4027352,1.7596383,1.0458323,126.81812,.59868419,.84236807,.35500032,146.92876,1.2528675,1.8261476,.6795873,62.286022
6,.39018184,.81359059,-.033226874,98.746254,1.5405686,1.9910287,1.0901084,108.19195,.71466428,1.185993,.2433356,70.792984,1.504064,1.9004502,1.1076776,126.81812,.63335973,.91111463,.35560486,146.92876,1.4175651,2.0478117,.78731847,62.286022
7,.24073477,.69352621,-.21205667,98.746254,1.4510893,1.9103215,.99185711,108.19195,.44773281,.96359956,-.068133973,70.792984,1.5524551,1.9592739,1.1456362,126.81812,.54787701,.83256459,.26318949,146.92876,1.1821468,1.8462652,.51802826,62.286022
8,.14460301,.62676221,-.33755618,98.746254,1.3862579,1.8640605,.90845531,108.19195,.20630161,.76040405,-.34780082,70.792984,1.5872577,2.024353,1.1501623,126.81812,.41352713,.71772844,.10932581,146.92876,1.0351366,1.7337306,.33654264,62.286022
9,.33196628,.82965136,-.16571879,98.746254,1.4767873,1.98865,.96492481,108.19195,.25954968,.82413143,-.30503207,70.792984,1.7100167,2.186209,1.2338246,126.81812,.46247867,.7914257,.1335316,146.92876,1.1362391,1.8718241,.40065387,62.286022
10,.52248245,1.0345294,.010435495,98.746254,1.5246212,2.0765076,.97273475,108.19195,.14880159,.74414891,-.44654572,70.792984,1.9550172,2.4702604,1.439774,126.81812,.52270412,.8790248,.16638349,146.92876,1.1822865,1.9634682,.40110469,62.286022
11,.45041424,.99776751,-.096939012,98.746254,1.3941988,1.979748,.80864954,108.19195,-.25593722,.40477577,-.91665018,70.792984,2.0132289,2.5612807,1.4651768,126.81812,.36278287,.75822294,-.032657176,146.92876,1.0314692,1.8594433,.20349514,62.286022
12,.39785632,.94513351,-.14942087,98.746254,1.0960722,1.705659,.48648536,108.19195,-.35719365,.30964527,-1.0240326,70.792984,1.7795662,2.3440638,1.2150687,126.81812,.15639621,.58587474,-.27308229,146.92876,.89381981,1.7248032,.062836409,62.286022
13,.058557715,.64435405,-.52723861,98.746254,.92610657,1.5395508,.31266233,108.19195,-.48040265,.19605185,-1.1568571,70.792984,1.5554857,2.1275506,.98342085,126.81812,-.12141752,.33373439,-.57656944,146.92876,.77631527,1.6069645,-.054333888,62.286022
